Product Name,Quantity,Retail Price,Received,Profit,Amazon Link,Ebay Link
Arrid XX Solid Antiperspirant & Deodorant-Ultra Fresh-2.7 oz (Quantity of 3),2,16.78,25.7,5.06,https://www.amazon.com/Arrid-Xx-Solid-Antiperspirant-Deodorant-Ultra-Fresh-27-Oz-Quantity-Of-3/dp/B01GR2ZEDW?tag=dcaft-20,https://www.ebay.com/itm/225996437285
What Ever Happened to Baby Jane (Anniversary Edition),1,9.36,12.5,1.27,https://www.amazon.com/dp/B008BFSMBA?tag=dcaft-20,https://www.ebay.com/itm/204599842939
"Unifying Receiver for Mouse and Keyboard Compatible for Any Logitech Product That Display The Unifying Logo (Orange Star, Connects up to 6 Devices) B083J7DYDT",1,11.99,16.99,2.45,https://www.amazon.com/dp/B083J7DYDT?tag=dcaft-20,https://www.ebay.com/itm/156152682740
MOOG K80201 Suspension Stabilizer Bar Bushing Kit for Ford F-250 Super Duty,1,11.1,15.5,2.08,https://www.amazon.com/Moog-K80201-Sway-Bar-Bushing/dp/B000QQXAHI?tag=dcaft-20,https://www.ebay.com/itm/226079708004
"1.2 Liter 40 oz Glass Pitcher with Lid and Spout, Bivvclaz Glass Water Pitcher for Fridge, Glass Carafe for Hot/Cold Water, Iced Tea Pitcher, Small Pitcher for Coffee, Juice and Homemade Beverage",1,14.82,19,1.33,https://www.amazon.com/12-Liter-40-Oz-Glass-Pitcher-With-Lid-And-Spout-Bivvclaz-Glass-Water-Pitcher-F/dp/B097118KV3?tag=dcaft-20,https://www.ebay.com/itm/355607792683
"Nature's Way Liquid Iron, Provides Daily Value of Iron, Sugar Free, Berry Flavored, 16 Fl. Oz.",1,7.76,12,2.44,https://www.amazon.com/dp/B006LTCAU2?tag=dcaft-20,https://www.ebay.com/itm/225979151456
"Estee Lauder Limited-Edition Matte Lipstick in Tartan Tawny, Full Size Unboxed",1,11.66,16.5,2.37,https://www.amazon.com/Estee-Lauder-Limited-Edition-Matte-Lipstick-In-Tartan-Tawny-Full-Size-Unboxed/dp/B0CJHBNNV4?tag=dcaft-20,https://www.ebay.com/itm/225951142847
"Mini Fridge Thermostat, Universal WPF-20 freezer thermostat controller 2pin / compatible with wpf16 and wpf18",1,9.89,12.81,1,https://www.amazon.com/dp/B09J4JWJVB?tag=dcaft-20,https://www.ebay.com/itm/355472802533
"ANDREW LESSMAN Circulation & Vein Support for Healthy Legs 30 Capsules - High Bioactivity Diosmin, Butcher's Broom, Visibly Reduces Swelling & Discomfort in Feet, Ankles, Calves, Legs",1,15.9,21.98,2.78,https://www.amazon.com/dp/B008OM2022?tag=dcaft-20,https://www.ebay.com/itm/225922635638
"AIEX 8pcs Window Latch Locks Replacement, 2 Inch Hole Center Spacing Vinyl Window Replacement Parts Window Latch Locks Window Tilt Latch Window Latch Locks Window Parts Sliding Window Tilt Latch",1,10.64,14,1.26,https://www.amazon.com/Aiex-8Pcs-Window-Latch-Locks-Replacement-2-Inch-Hole-Center-Spacing-Vinyl-Windo/dp/B09ZKWNW81?tag=dcaft-20,https://www.ebay.com/itm/355506869311
"Alka-Seltzer Tablet For Heartburn, Lemon Lime, 36 Count (Pack of 1)",1,4.55,8.98,3.08,https://www.amazon.com/Alka-Seltzer-Lemon-Lime-36-Count/dp/B01N40T33K?tag=dcaft-20,https://www.ebay.com/itm/225911350663
"Yes4All Punching Bag Hanger, Stainless Steel Swivel Chain with 4 Snap Hooks for Heavy Bag, Gym Swing, Trapeze, and Hammock",1,10.76,13.93,1.08,https://www.amazon.com/dp/B00DX8G4AQ?tag=dcaft-20,https://www.ebay.com/itm/315078740934
"Faodzc USB 3.0 Extension Cable 2 ft,Short USB Extension Cable Type A Male to A Female 5Gbps Data Transfer Compatible with Keyboard,USB Flash Drive,Playstation,Mouse,Hard Drive and More",1,6.54,16.63,7.6,https://www.amazon.com/dp/B08K3Z4MGJ?tag=dcaft-20,https://www.ebay.com/itm/315155853110
"Aveeno Soothing Bath Soak for Eczema, Natural Colloidal Oatmeal, 8 ct.",1,8.02,11.9,2.1,https://www.amazon.com/Aveeno-Fragrance-Free-Soothing-Bath-Treatment-100-Natural-Colloidal-Oatmeal-S/dp/B000UEAARO?tag=dcaft-20,https://www.ebay.com/itm/404837341399
"Sea Bond Secure Denture Adhesive Seals, Fresh Mint Uppers, Zinc-Free, All-Day-Hold, Mess-Free, 30 Count (Pack of 1)",2,12.88,19.92,4.06,https://www.amazon.com/Sea-Bond-Adhesive-Zinc-Free-All-Day-Hold-Mess-Free/dp/B002ECZWPK?tag=dcaft-20,https://www.ebay.com/itm/404463061255
SWAN Castor Oil USP 100% Stimulant Laxative 4 FL OZ - For Relief of occasional Constipation,1,6.35,11.3,3.26,https://www.amazon.com/dp/B09XLY69DV?tag=dcaft-20,https://www.ebay.com/itm/176266894465
"NOW Supplements, Vitamin B-2 (Riboflavin) 100 mg, Energy Production*, 100 Veg Capsules",2,9.9,14.44,2.38,https://www.amazon.com/NOW-Foods-B2-100-caps/dp/B000MGSH1Q?tag=dcaft-20,https://www.ebay.com/itm/395100795635
"Organic Agave Nectar Sweetener, Blue Agave Syrup - Vegan, Gluten-Free, Low Carb Sugar Substitute for Baking & Drinks",2,10.36,16.94,4.04,https://www.amazon.com/Agave-In-The-Raw-Organic-Agave-Nectar-Sweetener-Blue-Agave-Syrup-No-Erythritol/dp/B0078DP4IK?tag=dcaft-20,https://www.ebay.com/itm/404382924724
"GEARWRENCH 3/8"" Drive Hex Bit Metric Socket 11mm - 80432",1,4.92,9.77,3.38,https://www.amazon.com/Gearwrench-38-Drive-Hex-Bit-Metric-Socket-11Mm-80432/dp/B002YKHKBG?tag=dcaft-20,https://www.ebay.com/itm/364805079716
Reflections in a Golden Eye,1,12.99,16.71,1.21,https://www.amazon.com/dp/B085RRZ7Z1?tag=dcaft-20,https://www.ebay.com/itm/296134391528
